filename,width,height,class,xmin,ymin,xmax,ymax
41442_png_jpg.rf.c05f40e4c87272bb6fd40e809a0af5db.jpg,512,512,spot,156,315,176,339
41442_png_jpg.rf.c05f40e4c87272bb6fd40e809a0af5db.jpg,512,512,spot,366,326,379,339
41442_png_jpg.rf.c05f40e4c87272bb6fd40e809a0af5db.jpg,512,512,spot,302,408,315,419
41442_png_jpg.rf.c05f40e4c87272bb6fd40e809a0af5db.jpg,512,512,spot,194,412,208,426
d40a7245-56cf-44b9-8b64-c3fb92f0881c_png.rf.c0a68f1dede3ea4251fbe24fbd5832f2.jpg,419,581,acne,37,331,47,346
45797_png_jpg.rf.bfa4db4b45c6b74766e8978973303144.jpg,512,512,acne,129,165,144,178
45797_png_jpg.rf.bfa4db4b45c6b74766e8978973303144.jpg,512,512,spot,90,265,101,278
45797_png_jpg.rf.bfa4db4b45c6b74766e8978973303144.jpg,512,512,spot,127,292,139,301
45797_png_jpg.rf.bfa4db4b45c6b74766e8978973303144.jpg,512,512,spot,146,385,158,395
14631_png_jpg.rf.c0a8a1de7ebd861f2023553b66f69234.jpg,512,512,acne,198,400,214,419
14631_png_jpg.rf.c0a8a1de7ebd861f2023553b66f69234.jpg,512,512,acne,111,333,128,354
14631_png_jpg.rf.c0a8a1de7ebd861f2023553b66f69234.jpg,512,512,spot,163,314,174,330
14631_png_jpg.rf.c0a8a1de7ebd861f2023553b66f69234.jpg,512,512,acne,136,322,152,335
14631_png_jpg.rf.c0a8a1de7ebd861f2023553b66f69234.jpg,512,512,spot,324,331,343,344
14631_png_jpg.rf.c0a8a1de7ebd861f2023553b66f69234.jpg,512,512,spot,109,308,125,322
14631_png_jpg.rf.c0a8a1de7ebd861f2023553b66f69234.jpg,512,512,spot,359,342,369,357
14631_png_jpg.rf.c0a8a1de7ebd861f2023553b66f69234.jpg,512,512,spot,139,374,153,386
23436_png_jpg.rf.bfb850197ec71ab385f77b4a872eb479.jpg,512,512,acne,320,295,334,306
28866_png_jpg.rf.c085d96f9c8b632978bae0f45704badd.jpg,512,512,acne,285,118,298,134
28866_png_jpg.rf.c085d96f9c8b632978bae0f45704badd.jpg,512,512,acne,265,172,281,185
28866_png_jpg.rf.c085d96f9c8b632978bae0f45704badd.jpg,512,512,acne,327,173,338,184
28866_png_jpg.rf.c085d96f9c8b632978bae0f45704badd.jpg,512,512,acne,338,308,353,321
28866_png_jpg.rf.c085d96f9c8b632978bae0f45704badd.jpg,512,512,acne,305,267,318,281
28866_png_jpg.rf.c085d96f9c8b632978bae0f45704badd.jpg,512,512,acne,329,269,344,280
28866_png_jpg.rf.c085d96f9c8b632978bae0f45704badd.jpg,512,512,acne,366,182,378,192
28866_png_jpg.rf.c085d96f9c8b632978bae0f45704badd.jpg,512,512,acne,299,131,310,144
28866_png_jpg.rf.c085d96f9c8b632978bae0f45704badd.jpg,512,512,spot,349,331,365,348
28866_png_jpg.rf.c085d96f9c8b632978bae0f45704badd.jpg,512,512,spot,160,311,175,326
28866_png_jpg.rf.c085d96f9c8b632978bae0f45704badd.jpg,512,512,acne,203,271,219,286
28866_png_jpg.rf.c085d96f9c8b632978bae0f45704badd.jpg,512,512,acne,283,423,300,435
google_311_jpg.rf.c01e2236d7ff1415bbdaecd2f7cfce09.jpg,382,530,spot,255,260,267,273
google_311_jpg.rf.c01e2236d7ff1415bbdaecd2f7cfce09.jpg,382,530,spot,147,235,156,244
google_311_jpg.rf.c01e2236d7ff1415bbdaecd2f7cfce09.jpg,382,530,mole1,211,80,220,88
38969_png_jpg.rf.c0b32643442746f1414dc3647a614143.jpg,512,512,acne,266,168,282,183
38969_png_jpg.rf.c0b32643442746f1414dc3647a614143.jpg,512,512,acne,249,152,273,169
38969_png_jpg.rf.c0b32643442746f1414dc3647a614143.jpg,512,512,acne,257,185,278,198
41330_png_jpg.rf.c0c5d0e18e3c9947637a92188052818b.jpg,512,512,acne,207,165,217,172
41330_png_jpg.rf.c0c5d0e18e3c9947637a92188052818b.jpg,512,512,spot,287,161,298,170
41330_png_jpg.rf.c0c5d0e18e3c9947637a92188052818b.jpg,512,512,spot,161,289,179,300
14862_png_jpg.rf.c0999c3838bf9da0c15ee9fd58fceeb0.jpg,512,512,pimple,208,428,222,442
14862_png_jpg.rf.c0999c3838bf9da0c15ee9fd58fceeb0.jpg,512,512,spot,148,274,159,286
14862_png_jpg.rf.c0999c3838bf9da0c15ee9fd58fceeb0.jpg,512,512,pimple,259,439,270,450
14862_png_jpg.rf.c0999c3838bf9da0c15ee9fd58fceeb0.jpg,512,512,spot,359,146,375,160
14862_png_jpg.rf.c0999c3838bf9da0c15ee9fd58fceeb0.jpg,512,512,spot,298,141,305,149
14862_png_jpg.rf.c0999c3838bf9da0c15ee9fd58fceeb0.jpg,512,512,spot,365,131,379,142
14862_png_jpg.rf.c0999c3838bf9da0c15ee9fd58fceeb0.jpg,512,512,spot,335,311,346,323
Roshni-Ramesh-is-a-Cooks-mid-day-meals-at-th_jpg.rf.c104ec87c225aa718a78a896972c7070.jpg,514,514,spot,385,249,396,257
Roshni-Ramesh-is-a-Cooks-mid-day-meals-at-th_jpg.rf.c104ec87c225aa718a78a896972c7070.jpg,514,514,spot,390,259,399,265
42695_png_jpg.rf.c0b27a7f8f0c140a95ba987f9ad22aec.jpg,512,512,acne,182,160,194,173
42695_png_jpg.rf.c0b27a7f8f0c140a95ba987f9ad22aec.jpg,512,512,pimple,81,195,94,207

24253_png_jpg.rf.c0567a64722cbe349413ce440f1a54f3.jpg,512,512,spot,251,121,273,135
24253_png_jpg.rf.c0567a64722cbe349413ce440f1a54f3.jpg,512,512,spot,280,133,297,152
24253_png_jpg.rf.c0567a64722cbe349413ce440f1a54f3.jpg,512,512,spot,115,382,134,397
24253_png_jpg.rf.c0567a64722cbe349413ce440f1a54f3.jpg,512,512,spot,125,338,138,358
24253_png_jpg.rf.c0567a64722cbe349413ce440f1a54f3.jpg,512,512,spot,105,338,121,353
24253_png_jpg.rf.c0567a64722cbe349413ce440f1a54f3.jpg,512,512,spot,249,415,265,424
24253_png_jpg.rf.c0567a64722cbe349413ce440f1a54f3.jpg,512,512,spot,146,149,161,166

b9f6003f-42d2-4044-b3ec-badf106cdec2_png.rf.c0bb932f85a47e7c5d4ad143fbb817c5.jpg,482,680,spot,266,269,277,279
b9f6003f-42d2-4044-b3ec-badf106cdec2_png.rf.c0bb932f85a47e7c5d4ad143fbb817c5.jpg,482,680,spot,176,391,187,401
Asha-Das-is-a-Homemaker_-other-occupation-details_y_jpg.rf.c1074687ccd4242a67ee8bb1a99de225.jpg,514,514,pimple,62,274,74,289
Asha-Das-is-a-Homemaker_-other-occupation-details_y_jpg.rf.c1074687ccd4242a67ee8bb1a99de225.jpg,514,514,acne,90,271,107,288
Asha-Das-is-a-Homemaker_-other-occupation-details_y_jpg.rf.c1074687ccd4242a67ee8bb1a99de225.jpg,514,514,acne,114,255,128,267
Asha-Das-is-a-Homemaker_-other-occupation-details_y_jpg.rf.c1074687ccd4242a67ee8bb1a99de225.jpg,514,514,acne,383,295,396,311
Asha-Das-is-a-Homemaker_-other-occupation-details_y_jpg.rf.c1074687ccd4242a67ee8bb1a99de225.jpg,514,514,acne,116,268,127,280
